Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Regular price,Categories,Tags,Images
simple,MED-001,Multímetro digital de gancho,1,1,visible,Multímetro de gancho para mediciones de corriente AC/DC.,"Multímetro de gancho profesional, rango 0-600A, categoría de seguridad CAT III 600V. Ideal para mantenimiento eléctrico industrial.",1,25,189.90,Equipos de Medición,"medicion,multimetro",
simple,MED-002,Luxómetro digital de bolsillo,1,0,visible,Medidor de luminosidad portátil para inspecciones industriales.,"Luxómetro digital compacto, rango 0-200000 lux, ideal para auditorías de iluminación en planta.",1,18,145.00,Equipos de Medición,medicion,
simple,MED-003,Cámara termográfica infrarroja,1,1,visible,Cámara termográfica para inspección predictiva.,"Detecta puntos calientes en tableros e instalaciones eléctricas antes de que fallen. Resolución térmica 160x120.",1,10,1450.00,Equipos de Medición,"medicion,termografia",
simple,PROT-001,Interruptor termomagnético 2x32A,1,0,visible,Interruptor de protección para tableros eléctricos.,"Interruptor termomagnético bipolar, curva C, 32A, para protección de circuitos en tableros de distribución.",1,60,45.50,Protección Eléctrica,proteccion,
simple,PROT-002,Guantes dieléctricos Clase 0,1,1,visible,Guantes de protección eléctrica hasta 1000V.,"Guantes dieléctricos Clase 0 (hasta 1000V AC), talla M/L, certificados para trabajos en baja tensión.",1,100,65.00,Equipos de Seguridad (EPP),epp,
simple,PROT-003,Casco dieléctrico tipo E,1,0,visible,Casco de protección para trabajos eléctricos.,"Casco dieléctrico Clase E, resistente hasta 20000V, con suspensión ajustable.",1,45,38.00,Equipos de Seguridad (EPP),epp,
simple,HERR-001,Roscadora de tubos eléctrica,1,0,visible,Herramienta para roscado de tubería conduit.,"Roscadora eléctrica portátil para tubería conduit de 1/2 a 2 pulgadas, uso industrial.",1,8,890.00,Herramientas Industriales,herramientas,
simple,HERR-002,Compresora de aire portátil,1,0,visible,Compresora silenciosa para uso en taller.,"Compresora de aire de 24L, motor sin aceite, ideal para herramientas neumáticas ligeras.",1,15,420.00,Herramientas Industriales,herramientas,
simple,ILU-001,Reflector LED industrial 100W,1,1,visible,Reflector LED para exteriores e interiores industriales.,"Reflector LED IP65, 100W, 6500K, para iluminación de obra y almacenes.",1,40,79.00,Iluminación,iluminacion,
simple,ILU-002,Panel solar portátil 50W,1,0,visible,Kit de energía solar portátil para campo.,"Panel solar plegable de 50W con salida USB y regulador de carga incluido, ideal para cuadrillas de campo.",1,12,320.00,Iluminación,"iluminacion,energia-solar",
